ext_debt_stocks,inflation_rate,unemployment_rate,mortality_by_1000,resources_rent_procent_of_GDP,military_expenditure_procent_of_GDP,arms_imports,democracy_index,corruption_index,energy_access_procent_of_population,population,unseat_current_state_head_attempt,trade_openness,state_control_over_territory,political_violence
20.349601425427455,2.1400661634962708,3.6417878465800855,2.69988361176915,1.7276708842531512,1.348573923288874,237.92903531444517,0.29,0.37088099999999996,0.0,5.3261416556823304,0.0,10.0,6385.448281000001,0.815
23.111842887667123,3.439125586786832,2.6878474808095274,2.6483001966964363,0.16502985840120715,1.5067179028687008,243.58687770169607,0.183,0.7832250000000001,100.0,6.769842875155588,0.0,4.227911799999999,8208.359999999999,0.422
23.119202113054058,3.77170073177557,2.6878474808095274,2.6741486494265287,0.2540944683816761,1.6106266924583932,190.8683319772223,0.182,0.7832250000000001,100.0,6.713890150801098,0.0,2.6057568,7744.0,0.422
26.714874843354895,2.1599672459754298,2.4194788241023955,1.8123787564307907,0.22862497651891334,1.0341975972835813,395.9196379952747,0.6,0.3364,100.0,8.982937763741589,0.0,5.1,0.0,0.0
26.69599611428081,2.3493729600179,1.4398351348275957,2.094083818416706,1.6158087195388027,1.2859677150971007,492.975453333023,0.537,0.294849,79.9,11.781386322772734,0.0,5.5793728,7989.1419240000005,0.056
26.84905891623774,2.036750186237355,1.8625285401162623,2.052840859882657,1.3369290622414047,1.265251095589363,480.98324693703125,0.499,0.2916,83.8725,11.801839827840196,0.0,4.8922188,7843.227844,0.8
23.789492769509746,2.949511205341703,2.914522247090356,2.1448780969640104,3.251993263052448,1.864080130807681,359.81545509924905,0.071,0.561001,39.820805,8.246832762667724,0.0,3.1578255,4411.2178890000005,0.514
19.15660002114683,5.942798287525128,2.580216829592325,2.485739636091892,0.0,1.7230400399423396,252.64950224998069,0.05,0.8226490000000001,5.1173677,7.039630550995657,0.0,10.0,3130.4025,1.574
19.15660002114683,5.240961681789682,2.580216829592325,2.485739636091892,0.0,1.2103139839783337,0.0,0.059,0.7157159999999999,4.2,7.047904972259154,0.0,10.0,4096.0,1.574
19.15660002114683,4.436769634698723,2.580216829592325,2.4496248356433603,0.0,1.5368441171798535,0.0,0.05,0.772641,6.1731696,7.055708796001409,0.0,10.0,5507.717796,1.574
19.15660002114683,4.480075834367944,2.580216829592325,2.445039060788979,0.0,1.5169244938955915,0.0,0.062,0.8968089999999999,6.707007,7.059830664016905,0.0,10.0,4400.066889,1.574
19.15660002114683,3.8681165864443483,2.580216829592325,2.533696813957432,4.064276375791067,1.9593079002091556,321.35525845025705,0.102,0.627264,2.6846848,7.000516759063448,0.0,10.0,5755.801689000001,1.574
19.15660002114683,3.8400091002931185,2.580216829592325,2.4935359764860547,2.131452156939702,2.2794315171064237,210.5011493736387,0.102,0.627264,3.1363611,6.991958550264211,0.0,7.3158389999999995,5857.300089,1.574
19.15660002114683,0.9836873134713221,2.580216829592325,2.525168487449692,3.301614784563821,2.2637985109474323,301.7467291770485,0.068,0.7464959999999999,4.0971837,7.015707932146816,0.0,8.174185,4084.3602809999998,1.574
19.15660002114683,3.984647442616114,2.580216829592325,2.4908887214655477,2.500382905406139,2.447677278581305,280.8959084871681,0.065,0.7464959999999999,4.60134,7.028846613954319,0.0,10.0,3855.292281,1.574
22.109560198316302,2.3978952727983707,3.015044584586364,1.8380067203933748,3.6664700959360643,2.1114245875328868,344.81150262913576,0.169,0.599076,70.24077,6.563536716902505,0.0,10.0,2197.265625,4.11
22.109560198316302,2.3978952727983707,3.015044584586364,1.86470009362977,3.8280714018471333,2.1114245875328868,344.81150262913576,0.15,0.6448090000000001,68.6424,6.593726493336219,0.0,10.0,1711.890625,4.11
22.109560198316302,2.804479846904299,3.015044584586364,1.8685661774678202,3.961570529299276,2.1114245875328868,252.64950224998069,0.059,0.702244,79.96945,6.4586219421693825,0.0,10.0,4359.432675999999,3.229
22.109560198316302,1.282548659612933,3.015044584586364,1.8010495161351476,3.98814287790057,2.1563251316985244,344.81150262913576,0.299,0.6084,76.66387,6.505004982436015,0.0,10.0,3555.140625,2.608
22.109560198316302,2.3978952727983707,3.015044584586364,1.860974538249528,3.792082068430519,2.8021218142832973,344.81150262913576,0.175,0.6304360000000001,75.0388,6.511807734829728,0.0,10.0,2663.385664,3.685
22.109560198316302,2.3978952727983707,3.015044584586364,1.860507866389149,3.367804488528615,2.1114245875328868,344.81150262913576,0.171,0.5959840000000001,73.42857,6.528542542018038,0.0,10.0,2081.640625,4.11
22.187970638246533,1.0151790223337986,2.129421455841231,2.364338489269528,2.1765845026094772,1.3929311678431084,297.5451730567475,0.333,0.6464160000000001,34.78,7.575648752067414,0.0,5.8068447,5377.728889,1.033
22.250236116442466,0.26201536313764484,0.963174319592994,2.3436310624300467,2.1545769068546754,1.33682695314159,290.1703194396285,0.313,0.6464160000000001,50.9,7.603812222074074,0.0,6.0144782999999995,5818.333284000001,1.033
21.50925657223622,1.2423523616114978,2.331172549845958,2.5793831488437475,2.2624889458538346,0.8826441233206879,259.7930074134415,0.408,0.725904,24.030895,7.344995501722634,0.0,5.056843,6173.402040999999,0.347
21.845045394646668,1.844214096858457,2.331172549845958,2.502255288122613,2.5731544567277247,0.7868222721841976,256.4076865132869,0.234,0.7055999999999999,25.6,7.4352763548300675,1.0,5.9120593999999995,4365.377041,1.033
21.98220194602724,0.6332987356072667,1.9987736541192807,2.4465122618006885,2.1100823922736605,0.9244093746930934,190.8683319772223,0.338,0.616225,34.11334,7.492328452814754,0.0,6.0459362,5839.557889000001,1.033
